Country,France,Italy,Portugal,Spain,Austria,Bel-Lux,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World,0,Coeff. of variation,Norway,0,0,0,0,0,0,0,0,0
1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"193,263",0,0,0,0,0,0,0,0,0,0,"6,522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0
1876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"191,304",0,0,0,0,0,0,0,0,0,0,"7,591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0
1877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"186,812",0,0,0,0,0,0,0,0,0,0,"8,386",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0
1878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"181,003",0,0,0,0,0,0,0,0,0,0,"5,948","1,289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0
1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"170,451",0,0,0,0,0,0,0,0,0,0,"7,025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0
1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"168,023",0,0,0,0,0,0,0,0,0,0,"6,142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0
1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"168,419",0,0,0,0,0,0,0,0,0,0,"9,117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0
1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"167,610",0,0,0,0,0,0,0,0,0,0,"8,795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0
1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"168,110",0,0,0,0,0,0,0,0,0,0,"8,238","2,184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0
1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"164,209",0,0,0,0,0,0,0,0,0,0,"9,602","2,089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0
1885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"156,913",0,0,0,0,0,0,0,0,0,0,"8,930","1,917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0
1886,"140,699","22,217",0,0,0,"26,103","15,048",0,0,0,0,0,0,0,"88,604",0,0,0,0,0,0,0,0,0,0,"8,898","1,813",0,"141,920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
1887,"153,174","25,150",0,0,0,"27,008","15,212",0,0,0,0,0,0,0,"88,567",0,0,0,0,0,0,0,0,0,0,"8,101","1,742",0,"136,730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
1888,"154,490","10,935",0,0,0,"26,731","15,348",0,"167,537",0,0,0,0,0,"89,252",0,0,0,0,0,0,0,0,0,0,"7,617","1,884",0,"145,757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0
1889,"158,016","14,475",0,0,0,"25,898","15,477",0,"211,874",0,0,0,0,0,"92,573",0,0,0,0,0,0,0,0,0,0,"8,636","1,391",0,"155,040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
1890,"173,661","22,508",0,0,0,"28,285","15,599",0,"223,753",0,0,0,0,0,"98,960",0,0,0,0,0,0,0,0,0,0,"8,167","1,634",0,"167,750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0
1891,"173,926","22,643",0,0,0,"29,834","16,847",0,"211,768",0,0,0,0,"7,976","100,931",0,0,0,0,0,0,0,0,0,0,"7,670","1,671",0,"174,452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0
1892,"180,768","23,747",0,0,0,"29,909","16,964",0,"213,985",0,0,0,0,"8,075","101,818",0,0,0,0,0,0,0,0,0,0,"7,296","1,724",0,"185,900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0
1893,"171,260","17,767",0,0,0,"29,988","17,088",0,"221,054",0,0,0,0,"7,813","97,765",0,0,0,0,0,0,0,0,0,0,"7,049",0,0,"193,625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0
1894,"160,625","19,833",0,0,0,"30,003","17,255",0,"218,693",0,0,0,0,"6,831","97,925",0,0,0,0,0,0,0,0,0,0,"6,790",0,0,"174,094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0
1895,"161,595","16,018",0,0,0,"32,195","17,474",0,"216,561",0,0,0,0,"6,913","101,582",0,0,0,0,0,0,0,0,0,0,"6,561","1,583",0,"150,878",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0
1896,"165,993","18,075",0,0,0,"22,729","17,263",0,"224,888",0,0,0,0,"7,751","104,541",0,0,0,0,0,0,0,0,0,0,"6,681",0,0,"135,918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0
1897,"170,672","19,847",0,0,0,"29,335","17,505",0,"223,260",0,0,"20,826",0,"8,193","106,765",0,0,0,0,0,0,0,0,0,0,"6,614",0,0,"139,869",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
1898,"187,795","18,307",0,0,0,"28,133","17,754",0,"221,563",0,0,"20,662",0,"8,291","109,029",0,0,0,0,0,0,0,0,0,0,"7,001","1,733",0,"156,416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0
1899,"182,862","19,088",0,0,0,"28,180","17,988",0,"235,805",0,0,"20,381",0,"8,027","115,388",0,0,0,0,0,0,0,0,0,0,"7,191","1,817",0,"167,453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0
1900,"185,939","20,877",0,0,0,"31,714","18,209",0,"239,307",0,0,"21,134",0,"6,567","118,526",0,0,0,0,0,0,0,0,0,0,"7,969","1,937",0,"187,922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0
1901,"140,614","20,665",0,0,0,"33,461","18,210",0,"237,420",0,0,"21,249",0,"5,847","118,799",0,0,0,0,0,0,0,0,0,0,"8,873","2,100",0,"193,162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0
1902,"131,503","21,183",0,0,0,"28,786","18,623",0,"235,637",0,0,"21,167",0,"5,922","109,760",0,0,0,0,0,0,0,0,0,0,"9,001","2,111",0,"201,057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0
1903,"142,751","22,039",0,0,0,"18,542","17,510",0,"227,852",0,0,"21,071",0,"6,822","114,064",0,0,0,0,0,0,0,0,0,0,"7,996","2,158",0,"218,554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0
