Quality,Country,Year,Cases
Standard,Japan,2002,9700
Standard,Japan,2003,9500
Standard,Japan,2004,8500
Standard,Japan,2005,9000
Standard,Japan,2006,10000
Standard,Japan,2007,11000
Standard,Japan,2008,8500
Standard,Japan,2009,9000
Standard,Japan,2010,10750
Standard,Japan,2011,11250
Standard,Japan,2012,17000
Standard,Japan,2013,19000
Standard,Japan,2014,17850
Standard,Japan,2015,27500
Standard,Japan,2016,30150
Standard,New Zealand,1990,3000
Standard,New Zealand,1991,3000
Standard,New Zealand,1992,2000
Standard,New Zealand,1993,2500
Standard,New Zealand,1994,2500
Standard,New Zealand,1995,3000
Standard,New Zealand,1996,3500
Standard,New Zealand,1997,4000
Standard,New Zealand,1998,5500
Standard,New Zealand,1999,6750
Standard,New Zealand,2000,7400
Standard,New Zealand,2001,9000
Standard,New Zealand,2002,9750
Standard,New Zealand,2003,10750
Standard,New Zealand,2004,10950
Standard,New Zealand,2005,11700
Standard,New Zealand,2006,13460
Standard,New Zealand,2007,12660
Standard,New Zealand,2008,13410
Standard,New Zealand,2009,15900
Standard,New Zealand,2010,16850
Standard,New Zealand,2011,16100
Standard,New Zealand,2012,16600
Standard,New Zealand,2013,18050
Standard,New Zealand,2014,21350
Standard,New Zealand,2015,23700
Standard,New Zealand,2016,30050
Standard,Italy,1990,8000
Standard,Italy,1991,7000
Standard,Italy,1992,7000
Standard,Italy,1993,10000
Standard,Italy,1994,13500
Standard,Italy,1995,16000
Standard,Italy,1996,17500
Standard,Italy,1997,33000
Standard,Italy,1998,37250
Standard,Italy,1999,37250
Standard,Italy,2000,38000
Standard,Italy,2001,46750
Standard,Italy,2002,59500
Standard,Italy,2003,63250
Standard,Italy,2004,62500
Standard,Italy,2005,43750
Standard,Italy,2006,42250
Standard,Italy,2007,33500
Standard,Italy,2008,24000
Standard,Italy,2009,22500
Standard,Italy,2010,20500
Standard,Italy,2011,21500
Standard,Italy,2012,18500
Standard,Italy,2013,23500
Standard,Italy,2014,23000
Standard,Italy,2015,25000
Standard,Italy,2016,29200
Standard,DF Rest of Africa,1990,0
Standard,DF Rest of Africa,1991,0
Standard,DF Rest of Africa,1992,0
Standard,DF Rest of Africa,1993,0
Standard,DF Rest of Africa,1994,0
Standard,DF Rest of Africa,1995,0
Standard,DF Rest of Africa,1996,0
Standard,DF Rest of Africa,1997,0
Standard,DF Rest of Africa,1998,0
Standard,DF Rest of Africa,1999,0
Standard,DF Rest of Africa,2000,5250
Standard,DF Rest of Africa,2001,3500
Standard,DF Rest of Africa,2002,2250
Standard,DF Rest of Africa,2003,1700
Standard,DF Rest of Africa,2004,1775
Standard,DF Rest of Africa,2005,1825
Standard,DF Rest of Africa,2006,2000
Standard,DF Rest of Africa,2007,1925
Standard,DF Rest of Africa,2008,2950
Standard,DF Rest of Africa,2009,5900
Standard,DF Rest of Africa,2010,10300
Standard,DF Rest of Africa,2011,17025
Standard,DF Rest of Africa,2012,22150
Standard,DF Rest of Africa,2013,24475
Standard,DF Rest of Africa,2014,39325
Standard,DF Rest of Africa,2015,35300
Standard,DF Rest of Africa,2016,22975
Standard,Finland,1990,9000
Standard,Finland,1991,8500
Standard,Finland,1992,7500
Standard,Finland,1993,6500
Standard,Finland,1994,8650
Standard,Finland,1995,10300
Standard,Finland,1996,11750
Standard,Finland,1997,13000
Standard,Finland,1998,18250
Standard,Finland,1999,19600
Standard,Finland,2000,20800
Standard,Finland,2001,23200
Standard,Finland,2002,24900
Standard,Finland,2003,22000
Standard,Finland,2004,25000
Standard,Finland,2005,24250
Standard,Finland,2006,24500
Standard,Finland,2007,27000
Standard,Finland,2008,25000
Standard,Finland,2009,24000
Standard,Finland,2010,22150
